experiment,metric,n,mean,sd,median,q1,q3,iqr,min,max
A,human_observation_recall,6,0.7421296296296296,0.22872713180347728,0.788888888888889,0.6944444444444444,0.85625,0.16180555555555554,0.3333333333333333,1.0
A,weighted_human_feedback_coverage,6,0.42106481481481484,0.14101269716347134,0.44375,0.4010416666666667,0.4875,0.0864583333333333,0.16666666666666666,0.5833333333333334
A,human_agreement_precision,6,0.48935185185185187,0.22007410835608146,0.4305555555555556,0.4041666666666667,0.6267361111111112,0.2225694444444445,0.1875,0.8
A,human_agreement_f1,6,0.5687798177544567,0.22302742743673776,0.5494949494949495,0.41111111111111115,0.7525252525252525,0.34141414141414134,0.29268292682926833,0.8358208955223881
A,corrective_observation_recall,6,0.7777777777777777,0.29186501192363773,0.9166666666666667,0.5833333333333334,1.0,0.41666666666666663,0.3333333333333333,1.0
A,strength_observation_recall,6,0.6805555555555555,0.4230073110304185,0.875,0.4375,1.0,0.5625,0.0,1.0
A,human_targeted_requirement_recall,6,0.7362514029180697,0.2223310280172097,0.7525252525252526,0.7272727272727273,0.8333333333333334,0.10606060606060608,0.3333333333333333,1.0
A,corrective_requirement_recall,6,0.7673567977915804,0.26952933030421206,0.8354037267080745,0.6285714285714286,0.9891304347826086,0.3605590062111801,0.3333333333333333,1.0
A,strength_requirement_recall,5,0.74,0.307001628660175,0.75,0.7,1.0,0.30000000000000004,0.25,1.0
A,full_rubric_coverage,6,0.412004662004662,0.16601458496464183,0.4370629370629371,0.3806818181818182,0.5026223776223776,0.12194055944055943,0.11538461538461539,0.5961538461538461
A,average_summary_similarity,6,0.4881342127919197,0.07876953519102181,0.5148294642567635,0.48522449408968293,0.535343329111735,0.050118835022052055,0.3353329797585805,0.5462759137153625
A,grounded_feedback_rate,6,0.09230769230769231,0.16281546529628252,0.0,0.0,0.11538461538461539,0.11538461538461539,0.0,0.4
A,not_assessable_observation_rate,6,0.17655677655677657,0.2048873520590573,0.11538461538461539,0.0,0.3576923076923077,0.3576923076923077,0.0,0.42857142857142855
B,human_observation_recall,6,0.825925925925926,0.20082135869223644,0.8944444444444444,0.7222222222222222,0.975,0.25277777777777777,0.5,1.0
B,weighted_human_feedback_coverage,6,0.48078703703703707,0.1270827008686954,0.5277777777777778,0.375,0.576388888888889,0.20138888888888895,0.3125,0.6
