assessment_id,metric,comparison,n_pairs,mean_delta,median_delta,improved,unchanged,worsened
assessment_1,human_observation_recall,B-A,3,0.22222222222222224,0.3333333333333333,2,1,0
assessment_1,human_observation_recall,C-A,3,0.055555555555555546,0.0,1,1,1
assessment_1,human_observation_recall,D-A,3,0.1111111111111111,0.3333333333333333,2,0,1
assessment_1,weighted_human_feedback_coverage,B-A,3,0.05555555555555555,0.0,1,2,0
assessment_1,weighted_human_feedback_coverage,C-A,3,0.055555555555555546,0.0,1,1,1
assessment_1,weighted_human_feedback_coverage,D-A,3,0.0833333333333333,0.16666666666666663,2,0,1
assessment_1,human_agreement_precision,B-A,3,-0.05876068376068377,-0.05288461538461539,1,0,2
assessment_1,human_agreement_precision,C-A,3,-0.07799145299145299,-0.08974358974358976,0,0,3
assessment_1,human_agreement_precision,D-A,3,-0.16773504273504272,-0.20512820512820515,0,0,3
assessment_1,human_agreement_f1,B-A,3,-0.01852759883339845,-0.055394791236047985,1,0,2
assessment_1,human_agreement_f1,C-A,3,-0.04203861636955484,-0.017873766523924806,1,0,2
assessment_1,human_agreement_f1,D-A,3,-0.13478304387469708,-0.0857863751051304,0,0,3
assessment_1,corrective_observation_recall,B-A,3,0.1111111111111111,0.0,1,2,0
assessment_1,corrective_observation_recall,C-A,3,-0.055555555555555546,-0.33333333333333337,1,0,2
assessment_1,corrective_observation_recall,D-A,3,-1.850371707708594e-17,0.0,1,1,1
assessment_1,strength_observation_recall,B-A,3,0.4444444444444444,0.3333333333333333,2,1,0
assessment_1,strength_observation_recall,C-A,3,0.3333333333333333,0.3333333333333333,2,0,1
assessment_1,strength_observation_recall,D-A,3,0.3333333333333333,0.3333333333333333,2,0,1
assessment_1,human_targeted_requirement_recall,B-A,3,0.10549943883277214,0.07407407407407407,2,0,1
assessment_1,human_targeted_requirement_recall,C-A,3,-0.08754208754208757,0.0,1,1,1
assessment_1,human_targeted_requirement_recall,D-A,3,-0.11111111111111115,0.0,1,1,1
assessment_1,corrective_requirement_recall,B-A,3,0.06349206349206347,0.0,1,1,1
assessment_1,corrective_requirement_recall,C-A,3,-0.09316770186335406,0.0,1,1,1
assessment_1,corrective_requirement_recall,D-A,3,-0.1642512077294686,0.0,1,1,1
assessment_1,strength_requirement_recall,B-A,2,0.25,0.25,1,1,0
assessment_1,strength_requirement_recall,C-A,2,0.125,0.125,1,1,0
assessment_1,strength_requirement_recall,D-A,2,0.125,0.125,1,1,0
assessment_1,full_rubric_coverage,B-A,3,-0.012820512820512811,0.019230769230769218,2,0,1
assessment_1,full_rubric_coverage,C-A,3,-0.027139060752506106,-0.04713423831070884,1,0,2
assessment_1,full_rubric_coverage,D-A,3,-0.12173956762192055,-0.1451734539969834,1,0,2
assessment_1,average_summary_similarity,B-A,3,-0.051360534297095396,-0.03525944054126745,1,0,2
assessment_1,average_summary_similarity,C-A,3,0.053354695439338684,0.048648034532864814,2,0,1
assessment_1,average_summary_similarity,D-A,3,0.0496647639407052,-0.029631058375040653,1,0,2
assessment_1,grounded_feedback_rate,B-A,3,0.459035409035409,0.38095238095238093,3,0,0
assessment_1,grounded_feedback_rate,C-A,3,0.7885850583525001,0.8228980322003577,3,0,0
assessment_1,grounded_feedback_rate,D-A,3,0.8000081572722082,0.8244147157190636,3,0,0
assessment_1,not_assessable_observation_rate,B-A,3,0.42972374847374845,0.44375,3,0,0
assessment_1,not_assessable_observation_rate,C-A,3,0.6373626373626373,0.6,3,0,0
assessment_1,not_assessable_observation_rate,D-A,3,0.6468864468864468,0.6,3,0,0
assessment_2,human_observation_recall,B-A,3,-0.05462962962962966,0.09999999999999998,2,0,1
assessment_2,human_observation_recall,C-A,3,0.06574074074074072,0.09999999999999998,2,0,1
assessment_2,human_observation_recall,D-A,3,0.033333333333333326,0.0,1,2,0
assessment_2,weighted_human_feedback_coverage,B-A,3,0.06388888888888888,0.14999999999999997,2,0,1
assessment_2,weighted_human_feedback_coverage,C-A,3,0.14259259259259258,0.14999999999999997,2,1,0
assessment_2,weighted_human_feedback_coverage,D-A,3,0.14722222222222223,0.14999999999999997,3,0,0
assessment_2,human_agreement_precision,B-A,3,0.07306397306397305,0.05555555555555558,2,0,1
assessment_2,human_agreement_precision,C-A,3,0.057912457912457915,0.07828282828282829,2,0,1
assessment_2,human_agreement_precision,D-A,3,0.14882154882154883,0.14646464646464652,2,0,1
assessment_2,human_agreement_f1,B-A,3,0.02889702316777844,0.07434343434343449,2,0,1
assessment_2,human_agreement_f1,C-A,3,0.06771386359134475,0.12091059852253894,2,0,1
assessment_2,human_agreement_f1,D-A,3,0.1183537751957006,0.10593015021059315,2,0,1
assessment_2,corrective_observation_recall,B-A,3,-0.08333333333333333,0.0,1,1,1
assessment_2,corrective_observation_recall,C-A,3,0.11111111111111109,0.0,1,1,1
assessment_2,corrective_observation_recall,D-A,3,0.0,0.0,0,3,0
assessment_2,strength_observation_recall,B-A,3,0.041666666666666664,0.0,1,2,0
assessment_2,strength_observation_recall,C-A,3,0.041666666666666664,0.0,1,2,0
assessment_2,strength_observation_recall,D-A,3,0.041666666666666664,0.0,1,2,0
assessment_2,human_targeted_requirement_recall,B-A,3,-0.030303030303030314,0.0,0,2,1
assessment_2,human_targeted_requirement_recall,C-A,3,0.06734006734006732,0.09090909090909094,2,1,0
assessment_2,human_targeted_requirement_recall,D-A,3,0.07407407407407407,0.0,1,2,0
assessment_2,corrective_requirement_recall,B-A,3,0.0,0.0,0,3,0
assessment_2,corrective_requirement_recall,C-A,3,0.0666666666666667,0.0,1,2,0
assessment_2,corrective_requirement_recall,D-A,3,0.13333333333333333,0.0,1,2,0
assessment_2,strength_requirement_recall,B-A,3,-0.033333333333333326,0.0,0,2,1
assessment_2,strength_requirement_recall,C-A,3,0.03333333333333336,0.0,1,2,0
assessment_2,strength_requirement_recall,D-A,3,0.0,0.0,0,3,0
assessment_2,full_rubric_coverage,B-A,3,0.1818181818181818,0.06818181818181818,2,0,1
assessment_2,full_rubric_coverage,C-A,3,0.15122990704386055,0.06818181818181818,3,0,0
assessment_2,full_rubric_coverage,D-A,3,0.25052854122621565,0.1495771670190275,3,0,0
assessment_2,average_summary_similarity,B-A,3,-0.08430742224057514,-0.07768355806668598,0,0,3
assessment_2,average_summary_similarity,C-A,3,-0.03499719500541687,-0.031107773383458492,0,0,3
assessment_2,average_summary_similarity,D-A,3,0.006091366211573301,0.0008774300416310443,2,0,1
assessment_2,grounded_feedback_rate,B-A,3,0.3488801054018445,0.2727272727272727,3,0,0
assessment_2,grounded_feedback_rate,C-A,3,0.9584859584859585,0.9523809523809523,3,0,0
assessment_2,grounded_feedback_rate,D-A,3,0.9259259259259259,0.9444444444444444,3,0,0
assessment_2,not_assessable_observation_rate,B-A,3,0.3633728590250329,0.2727272727272727,3,0,0
assessment_2,not_assessable_observation_rate,C-A,3,0.9584859584859585,0.9523809523809523,3,0,0
assessment_2,not_assessable_observation_rate,D-A,3,0.9259259259259259,0.9444444444444444,3,0,0
