assessment_id,student_id,experiment,evaluation_id,human_observation_recall,weighted_human_feedback_coverage,human_agreement_precision,human_agreement_f1,corrective_observation_recall,strength_observation_recall,grounded_feedback_rate,additional_valid_observation_rate,novel_grounded_feedback_rate,unsupported_observation_rate,contradicted_observation_rate,not_assessable_observation_rate,human_targeted_requirement_recall,corrective_requirement_recall,strength_requirement_recall,human_targeted_component_recall,full_rubric_coverage,overall_summary_similarity,strengths_summary_similarity,improvement_summary_similarity,average_summary_similarity,human_observations_total,human_observations_eligible,human_observations_excluded,human_observations_matched,human_observations_partially_matched,human_observations_not_matched,generated_observations_total,generated_observations_fully_human_matched,generated_observations_partially_human_matched,generated_observations_additional_valid,generated_observations_unsupported,generated_observations_contradicted,generated_observations_not_assessable,generated_observations_unresolved,applicable_requirements,human_targeted_requirements,generated_covered_requirements,human_targeted_components,generated_covered_components
assessment_1,student_3,A,evaluation_assessment_1_student_3_A,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.3703703703703704,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.8518518518518519,0.9565217391304348,0.25,1.0,0.4423076923076923,0.5213647484779358,0.11276650428771973,0.37186768651008606,0.3353329797585805,6,6,0,0,2,4,12,0,5,0,0,0,3,4,52,27,23,2,2
assessment_1,student_5,A,evaluation_assessment_1_student_5_A,1.0,0.5833333333333334,0.6875,0.8148148148148148,1.0,1.0,0.4,0.0,0.0,0.0,0.0,0.4,0.7272727272727273,0.7142857142857143,0.75,1.0,0.5961538461538461,0.6135233640670776,0.49915653467178345,0.46763092279434204,0.526770273844401,6,6,0,1,5,0,16,1,10,0,0,0,2,3,52,11,31,2,2
assessment_1,student_7,A,evaluation_assessment_1_student_7_A,0.6666666666666666,0.5,0.1875,0.29268292682926833,1.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.23076923076923078,0.3333333333333333,0.3333333333333333,,1.0,0.11538461538461539,0.5728641748428345,0.19393889605998993,0.7418628931045532,0.5028886546691259,3,3,0,1,1,1,16,1,2,0,0,0,3,10,52,3,6,2,2
assessment_2,student_1,A,evaluation_assessment_2_student_1_A,0.875,0.4375,0.8,0.8358208955223881,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.6,1.0,1.0,0.5227272727272727,0.6000373363494873,0.644360363483429,0.3702053427696228,0.5382010142008463,8,8,0,0,7,1,10,0,8,0,0,0,0,2,44,9,23,2,2
assessment_2,student_2,A,evaluation_assessment_2_student_2_A,0.7777777777777778,0.3888888888888889,0.4444444444444444,0.5656565656565655,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4318181818181818,0.527672529220581,0.7185773849487305,0.3925778269767761,0.5462759137153625,9,9,0,0,7,2,9,0,4,0,0,0,0,5,44,6,19,2,2
assessment_2,student_6,A,evaluation_assessment_2_student_6_A,0.8,0.45,0.4,0.5333333333333333,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,1.0,0.7,1.0,0.36363636363636365,0.6162703037261963,0.6366088390350342,0.18513017892837524,0.4793364405632019,10,10,0,1,7,2,10,1,3,0,0,0,0,6,44,11,16,1,2
assessment_1,student_3,B,evaluation_assessment_1_student_3_B,0.6666666666666666,0.3333333333333333,0.5961538461538461,0.6294416243654822,0.6666666666666666,0.6666666666666666,0.38095238095238093,0.0,0.0,0.0,0.0,0.5714285714285714,0.9259259259259259,0.9565217391304348,0.75,1.0,0.5961538461538461,0.46576520800590515,0.39657121896743774,0.2256220430135727,0.36265282332897186,6,6,0,0,4,2,52,0,31,0,0,0,12,9,52,27,31,2,2
assessment_1,student_5,B,evaluation_assessment_1_student_5_B,1.0,0.5833333333333334,0.38461538461538464,0.5555555555555556,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.84375,0.6363636363636364,0.5714285714285714,0.75,1.0,0.38461538461538464,0.4415891170501709,0.39381635189056396,0.3064793348312378,0.3806282679239909,6,6,0,1,5,0,52,1,19,0,0,0,27,5,52,11,20,2,2
assessment_1,student_7,B,evaluation_assessment_1_student_7_B,1.0,0.5,0.1346153846153846,0.23728813559322035,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.9333333333333333,0.6666666666666666,0.6666666666666666,,1.0,0.1346153846153846,0.6527289152145386,0.2333742380142212,0.5167844891548157,0.46762921412785846,3,3,0,0,3,0,52,0,7,0,0,0,42,3,52,3,7,2,2
assessment_2,student_1,B,evaluation_assessment_2_student_1_B,0.5,0.3125,0.4772727272727273,0.48837209302325585,0.3333333333333333,1.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.21739130434782608,0.7777777777777778,0.6,1.0,1.0,0.4772727272727273,0.45599138736724854,0.6979042887687683,0.15265199542045593,0.4355158905188243,8,8,0,1,3,4,44,3,18,0,0,0,5,18,44,9,21,2,2
